band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B08735306296,B08735306296,,B,7/8/89,8,7,1989,US,US-MI,44.91667,-83.91667,10,12,Osprey,3640,3,1,4,0,P9996346,0,,,,,,B,Pandion haliaetus
B08735306296,B08735306296,,E,10/99/1989,99,10,1989,VE,,2.75,-67.75,10,12,,3640,,,,,,,1,21,1,5,0.33,E,Pandion haliaetus
B08735486077,B08735486077,,B,7/16/91,16,7,1991,US,US-MI,44.91667,-83.91667,10,12,Osprey,3640,3,1,4,0,P9996346,0,,,,,,B,Pandion haliaetus
B08735486077,B08735486077,,E,12/1/91,1,12,1991,CO,,9.25,-74.25,10,12,,3640,,,,,,,28,21,1,6,0.5,E,Pandion haliaetus
B08749701419,B08749701419,,B,7/6/19,6,7,2019,US,US-MT,47.25,-114.25,10,W2,Osprey,3640,3,19,4,0,P7722012,0,,,,,,B,Pandion haliaetus
B08749701419,B08749701419,,E,6/25/20,25,6,2020,MX,,19.10339,-96.16342,11,W2,Osprey,3640,,,,,,,29,21,13,7,1,E,Pandion haliaetus
B08749701419,B08749701419,,E,4/11/22,11,4,2022,US,US-UT,40.57572,-111.91738,11,W2,Osprey,3640,,,,,,,29,21,13,7,2.83,E,Pandion haliaetus
B08749701419,B08749701419,,E,4/18/22,18,4,2022,US,US-UT,40.58333,-111.91667,10,W2,OSPREY (Pandionidea) Pandion haliaetus,3640,,,,,,,29,21,13,13,2.83,E,Pandion haliaetus
B08749705899,B08749705899,,B,7/15/19,15,7,2019,US,US-MA,41.58333,-71.08333,10,W2,Osprey,3640,3,0,4,0,P9969029,0,,,,,,B,Pandion haliaetus
B08749705899,B08749705899,,E,7/25/19,25,7,2019,US,US-MA,41.58333,-71.08333,10,W2,American Kestrel,3640,,,,,,,0,21,7,5,0.08,E,Pandion haliaetus
B08749706459,B08749706459,,B,7/11/21,11,7,2021,US,US-NJ,39.58333,-74.25,10,W2,Osprey,3640,3,1,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B08749706459,B08749706459,,E,5/12/22,12,5,2022,TT,,10.08333,-61.91667,10,W2,Osprey,3640,,,,,,,29,21,13,13,0.92,E,Pandion haliaetus
B08749780387,B08749780387,,B,6/29/21,29,6,2021,US,US-MD,38.75,-76.75,10,W2,Osprey,3640,3,0,4,0,P7728612,0,,,,,,B,Pandion haliaetus
B08749780387,B08749780387,,E,10/26/21,26,10,2021,US,US-VA,36.91667,-76.41667,10,W2,Unknown,3640,,,,,,,0,21,7,4,0.33,E,Pandion haliaetus
B08999601091,B08999601091,,B,7/11/16,11,7,2016,US,US-VA,37.75,-76.58333,10,42,Osprey,3640,3,18,4,0,P2725447,0,,,,,,B,Pandion haliaetus
B08999601091,B08999601091,,E,8/9/16,9,8,2016,US,US-VA,37.78931,-76.62912,11,42,OSPREY,3640,,,,,,,45,21,61,4,0.17,E,Pandion haliaetus
B08999604059,B08999604059,,B,7/14/16,14,7,2016,US,US-MT,45.41667,-110.58333,10,42,Osprey,3640,3,1,4,0,P7717411,0,,,,,,B,Pandion haliaetus
B08999604059,B08999604059,,E,4/25/19,25,4,2019,US,US-MT,45.58333,-111.25,10,42,Osprey,3640,,,,,,,29,21,13,13,2.83,E,Pandion haliaetus
B08999604296,B08999604296,,B,7/12/16,12,7,2016,US,US-MT,45.75,-108.41667,10,42,Osprey,3640,3,1,4,0,P7717411,0,,,,,,B,Pandion haliaetus
B08999604296,B08999604296,,E,6/8/18,8,6,2018,US,US-NE,41.09277,-102.37497,11,42,Hawk,3640,,,,,,,45,21,7,10,2,E,Pandion haliaetus
B08999607898,B08999607898,,B,7/12/16,12,7,2016,US,US-MA,41.58333,-71.08333,10,42,Osprey,3640,3,0,4,0,P9969029,0,,,,,,B,Pandion haliaetus
B08999607898,B08999607898,,E,9/16/16,16,9,2016,US,US-MA,42.6612,-70.99672,11,42,OSPREY,3640,,,,,,,3,21,61,12,0.25,E,Pandion haliaetus
B08999609410,B08999609410,,B,7/7/16,7,7,2016,US,US-MD,38.41667,-76.58333,10,42,Osprey,3640,3,33,4,0,P7728612,0,,,,,,B,Pandion haliaetus
B08999609410,B08999609410,,E,5/7/20,7,5,2020,US,US-MD,38.41667,-76.58333,10,42,OSPREY,3640,,,,,,,0,21,7,4,3.92,E,Pandion haliaetus
B08999630623,B08999630623,,B,7/9/17,9,7,2017,US,US-NJ,39.75,-74.08333,10,42,Osprey,3640,3,1,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B08999630623,B08999630623,,E,7/22/21,22,7,2021,US,US-NJ,39.75,-74.08333,10,42,OSPREY,3640,,,,,P9719515,,29,23,13,7,4.08,E,Pandion haliaetus
B08999643038,B08999643038,,B,6/30/18,30,6,2018,US,US-MD,38.75,-76.75,10,42,Osprey,3640,3,33,4,0,P7728612,0,,,,,,B,Pandion haliaetus
B08999643038,B08999643038,,E,8/18/18,18,8,2018,US,US-PA,39.75,-77.58333,10,42,Osprey,3640,,,,,,,0,22,7,4,0.17,E,Pandion haliaetus
B08999701499,B08999701499,,B,7/5/13,5,7,2013,US,US-MT,45.58333,-110.58333,10,42,Osprey,3640,3,1,4,0,P7717411,0,,,,,,B,Pandion haliaetus
B08999701499,B08999701499,,E,11/6/17,6,11,2017,US,US-LA,31.25,-92.08333,10,42,Osprey,3640,,,,,,,29,21,13,13,4.42,E,Pandion haliaetus
B08999701499,B08999701499,,E,3/19/19,19,3,2019,US,US-LA,31.14249,-92.06624,11,42,Unknown,3640,,,,,,,0,21,7,5,5.75,E,Pandion haliaetus
B08999701737,B08999701737,,B,7/18/14,18,7,2014,US,US-MT,45.25,-110.75,10,42,Osprey,3640,3,1,4,0,P7717411,0,,,,,,B,Pandion haliaetus
B08999701737,B08999701737,,E,5/10/18,10,5,2018,US,US-WY,42.75,-106.41667,10,42,Osprey,3640,,,,,,,29,21,13,13,3.92,E,Pandion haliaetus
B08999705898,B08999705898,,B,7/1/13,1,7,2013,US,US-MA,42.08333,-70.58333,10,42,Osprey,3640,3,0,4,0,P1715999,0,,,,,,B,Pandion haliaetus
B08999705898,B08999705898,,E,4/7/17,7,4,2017,US,US-MA,41.96722,-70.67167,11,42,Osprey,3640,,,,,,,33,21,7,13,3.83,E,Pandion haliaetus
B08999705979,B08999705979,,B,7/1/13,1,7,2013,US,US-MA,42.25,-70.91667,10,42,Osprey,3640,3,0,4,0,P1715999,0,,,,,,B,Pandion haliaetus
B08999705979,B08999705979,,E,5/12/20,12,5,2020,US,US-MA,42.41667,-71.08333,10,42,osprey,3640,,,,,,,63,21,7,5,6.92,E,Pandion haliaetus
B08999710141,B08999710141,,B,7/16/15,16,7,2015,US,US-NY,40.58333,-73.75,10,42,Osprey,3640,3,0,4,0,P6965809,0,,,,,,B,Pandion haliaetus
B08999710141,B08999710141,,E,5/11/18,11,5,2018,US,US-GA,31.75,-81.08333,10,42,Unknown,3640,,,,,,,50,21,7,5,,E,Pandion haliaetus
B08999731039,B08999731039,,B,6/28/13,28,6,2013,US,US-NJ,39.25,-74.75,10,42,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B08999731039,B08999731039,,E,6/13/16,13,6,2016,US,US-NJ,39.19567,-74.71383,11,42,UNKNOWN,3640,,,,,,,0,21,61,5,3,E,Pandion haliaetus
B09019600930,B09019600930,,B,7/1/10,1,7,2010,US,US-NJ,39.08333,-74.75,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019600930,B09019600930,,E,7/31/16,31,7,2016,US,US-NJ,39.08333,-74.75,10,2,Osprey,3640,,,,,,,0,21,7,4,6.08,E,Pandion haliaetus
B09019601130,B09019601130,,B,6/27/12,27,6,2012,US,US-NJ,40.41667,-74.25,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019601130,B09019601130,,E,6/9/14,9,6,2014,US,US-NJ,40.41667,-74.08333,10,2,Osprey,3640,,,,,,,14,21,7,4,2,E,Pandion haliaetus
B09019601491,B09019601491,,B,7/10/09,10,7,2009,US,US-NJ,38.91667,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019601491,B09019601491,,E,9/18/09,18,9,2009,US,US-FL,27.91667,-82.25,10,2,OSPREY,3640,,,,,,,28,21,61,10,0.25,E,Pandion haliaetus
B09019601771,B09019601771,,B,6/23/12,23,6,2012,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019601771,B09019601771,,E,10/72/2012,72,10,2012,US,US-PA,39.97141,-76.38629,11,2,UNKNOWN,3640,,,,,,,0,22,61,5,,E,Pandion haliaetus
B09019602571,B09019602571,,B,7/18/09,18,7,2009,US,US-NJ,39.08333,-74.75,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019602571,B09019602571,,E,5/9/20,9,5,2020,US,US-NJ,39.50136,-74.49791,11,2,OSPREY,3640,,,,,P9719515,,60,23,7,10,10.92,E,Pandion haliaetus
B09019603219,B09019603219,,B,6/11/10,11,6,2010,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019603219,B09019603219,,E,5/4/17,4,5,2017,US,US-NJ,39.08333,-74.75,10,2,Osprey,3640,,,,,,,14,21,7,4,6.92,E,Pandion haliaetus
B09019603330,B09019603330,,B,6/29/09,29,6,2009,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019603330,B09019603330,,E,11/25/09,25,11,2009,US,US-FL,28.25,-80.75,10,2,UNKNOWN,3640,,,,,,,14,21,61,4,0.42,E,Pandion haliaetus
B09019603733,B09019603733,,B,6/30/10,30,6,2010,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019603733,B09019603733,,E,4/9/15,9,4,2015,US,US-NJ,39.35012,-74.6496,11,2,OSPREY,3640,,,,,,,0,21,61,5,4.83,E,Pandion haliaetus
B09019603890,B09019603890,,B,6/30/10,30,6,2010,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019603890,B09019603890,,E,9/26/10,26,9,2010,US,US-FL,26.41667,-81.75,10,2,OSPREY,3640,,,,,,,45,21,61,4,0.25,E,Pandion haliaetus
B09019604696,B09019604696,,B,6/28/10,28,6,2010,US,US-NJ,39.75,-74.08333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019604696,B09019604696,,E,6/28/20,28,6,2020,US,US-NJ,39.58333,-74.41667,10,2,OSPREY,3640,,,,,P9719515,,0,23,7,5,10,E,Pandion haliaetus
B09019604899,B09019604899,,B,6/30/10,30,6,2010,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019604899,B09019604899,,E,12/6/10,6,12,2010,US,US-FL,30.25,-85.75,10,2,BALD EAGLE,3640,,,,,,,7,21,61,13,0.5,E,Pandion haliaetus
B09019605459,B09019605459,,B,6/22/09,22,6,2009,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019605459,B09019605459,,E,8/24/13,24,8,2013,US,US-NJ,39.4972,-75.59168,11,2,UNKNOWN,3640,,,,,,,50,21,61,4,,E,Pandion haliaetus
B09019605850,B09019605850,,B,8/5/11,5,8,2011,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019605850,B09019605850,,E,12/19/11,19,12,2011,VE,,10.91667,-68.58333,10,2,Unknown,3640,,,,,,,1,21,7,5,0.5,E,Pandion haliaetus
B09019606211,B09019606211,,B,7/5/12,5,7,2012,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019606211,B09019606211,,E,9/25/12,25,9,2012,US,US-NC,34.49017,-77.43163,11,2,HAWK,3640,,,,,,,0,21,61,4,0.25,E,Pandion haliaetus
B09019606536,B09019606536,,B,6/29/11,29,6,2011,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019606536,B09019606536,,E,6/28/15,28,6,2015,US,US-NJ,39.33814,-74.51669,11,2,OSPREY,3640,,,,,,,3,21,61,4,4,E,Pandion haliaetus
B09019607496,B09019607496,,B,7/12/10,12,7,2010,US,US-NJ,39.75,-74.08333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019607496,B09019607496,,E,1/19/12,19,1,2012,VE,,10.58333,-71.75,10,2,Unknown,3640,,,,,,,53,23,7,7,1.58,E,Pandion haliaetus
B09019607891,B09019607891,,B,7/4/10,4,7,2010,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019607891,B09019607891,,E,9/28/10,28,9,2010,US,US-FL,26.75,-80.25,10,2,OSPREY,3640,,,,,,,3,21,61,13,0.25,E,Pandion haliaetus
B09019608370,B09019608370,,B,6/30/10,30,6,2010,US,US-NJ,39.58333,-74.41667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019608370,B09019608370,,E,7/6/15,6,7,2015,US,US-NJ,39.41667,-74.41667,10,2,Osprey,3640,,,,,,,63,22,7,4,5.08,E,Pandion haliaetus
B09019608731,B09019608731,,B,6/29/10,29,6,2010,US,US-NJ,38.91667,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019608731,B09019608731,,E,7/16/19,16,7,2019,US,US-NJ,38.97342,-74.95194,11,2,Osprey,3640,,,,,,,39,21,7,4,9.08,E,Pandion haliaetus
B09019608896,B09019608896,,B,6/29/10,29,6,2010,US,US-NJ,38.91667,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019608896,B09019608896,,E,5/1/12,1,5,2012,US,US-NJ,39.58333,-74.25,10,2,OSPREY,3640,,,,,,,0,23,7,4,1.92,E,Pandion haliaetus
B09019609291,B09019609291,,B,6/27/10,27,6,2010,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019609291,B09019609291,,E,4/13/13,13,4,2013,US,US-MD,38.41667,-75.75,10,2,Osprey,3640,,,,,,,14,21,7,4,2.83,E,Pandion haliaetus
B09019609899,B09019609899,,B,6/25/11,25,6,2011,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019609899,B09019609899,,E,4/26/16,26,4,2016,US,US-NJ,39.24613,-75.002,12,2,Osprey,3640,,,,,,,52,21,7,7,4.83,E,Pandion haliaetus
B09019609899,B09019609899,,E,4/1/18,1,4,2018,US,US-NJ,39.25,-75.08333,10,2,Osprey,3640,,,,,,,52,21,7,7,6.83,E,Pandion haliaetus
B09019609899,B09019609899,,E,4/2/18,2,4,2018,US,US-NJ,39.25,-75.08333,10,2,Osprey,3640,,,,,,,52,21,7,13,6.83,E,Pandion haliaetus
B09019609899,B09019609899,,E,4/8/19,8,4,2019,US,US-NJ,39.25,-75.08333,10,2,Osprey,3640,,,,,,,52,21,7,13,7.83,E,Pandion haliaetus
B09019609979,B09019609979,,B,6/25/11,25,6,2011,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019609979,B09019609979,,E,4/2/18,2,4,2018,US,US-NJ,39.25,-75.08333,10,2,Osprey,3640,,,,,,,52,21,7,13,6.83,E,Pandion haliaetus
B09019609979,B09019609979,,E,4/3/18,3,4,2018,US,US-NJ,39.25,-75.08333,10,2,osprey,3640,,,,,,,33,21,7,13,6.83,E,Pandion haliaetus
B09019612739,B09019612739,,B,7/15/17,15,7,2017,US,US-ID,47.75,-116.75,10,2,Osprey,3640,3,0,4,0,P7728647,0,,,,,,B,Pandion haliaetus
B09019612739,B09019612739,,E,8/18/19,18,8,2019,US,US-ID,47.41667,-116.75,10,2,OSPREY,3640,,,,,,,3,21,7,5,2.17,E,Pandion haliaetus
B09019616176,B09019616176,,B,7/2/14,2,7,2014,US,US-VA,36.91667,-76.08333,10,2,Osprey,3640,3,1,4,0,P7747959,0,,,,,,B,Pandion haliaetus
B09019616176,B09019616176,,E,8/2/14,2,8,2014,US,US-VA,36.91667,-76.08333,10,2,Osprey,3640,,,,,,,36,21,7,7,0.17,E,Pandion haliaetus
B09019616490,B09019616490,,B,6/19/15,19,6,2015,US,US-VA,36.91667,-76.08333,10,2,Osprey,3640,3,1,4,0,P7747959,0,,,,,,B,Pandion haliaetus
B09019616490,B09019616490,,E,4/6/18,6,4,2018,US,US-VA,36.91667,-76.08333,10,2,Osprey,3640,,,,,,,29,21,13,13,2.83,E,Pandion haliaetus
B09019616490,B09019616490,,E,6/19/19,19,6,2019,US,US-VA,36.90598,-76.01521,11,2,Osprey,3640,,,,,,,52,21,7,13,4,E,Pandion haliaetus
B09019618170,B09019618170,,B,6/27/12,27,6,2012,US,US-VA,37.91667,-76.91667,10,2,Osprey,3640,3,1,4,0,P7747959,0,,,,,,B,Pandion haliaetus
B09019618170,B09019618170,,E,7/30/12,30,7,2012,US,US-VA,38.08333,-76.91667,10,2,OSPREY,3640,,,,,,,26,21,61,13,0.08,E,Pandion haliaetus
B09019630629,B09019630629,,B,7/4/12,4,7,2012,US,US-NJ,39.08333,-74.75,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019630629,B09019630629,,E,9/18/12,18,9,2012,US,US-NJ,39.41667,-74.41667,10,2,OSPREY,3640,,,,,,,0,23,7,4,0.25,E,Pandion haliaetus
B09019631933,B09019631933,,B,7/3/12,3,7,2012,US,US-NJ,39.75,-74.08333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019631933,B09019631933,,E,5/11/16,11,5,2016,US,US-NJ,39.95373,-74.19792,11,2,HAWK,3640,,,,,,,61,21,61,4,3.92,E,Pandion haliaetus
B09019632572,B09019632572,,B,7/3/12,3,7,2012,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019632572,B09019632572,,E,11/16/12,16,11,2012,GD,,12.05,-61.75,11,2,Osprey,3640,,,,,,,0,21,7,5,0.42,E,Pandion haliaetus
B09019632811,B09019632811,,B,6/30/13,30,6,2013,US,US-NJ,39.25,-74.58333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019632811,B09019632811,,E,9/10/13,10,9,2013,US,US-SC,34.48208,-82.05928,11,2,OSPREY,3640,,,,,,,28,21,61,10,0.25,E,Pandion haliaetus
B09019633613,B09019633613,,B,7/4/13,4,7,2013,US,US-NJ,39.75,-74.08333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019633613,B09019633613,,E,7/1/15,1,7,2015,US,US-NJ,39.83984,-74.19014,11,2,OSPREY,3640,,,,,,,39,21,61,5,2.08,E,Pandion haliaetus
B09019634410,B09019634410,,B,7/5/11,5,7,2011,US,US-NJ,39.75,-74.08333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019634410,B09019634410,,E,11/3/11,3,11,2011,US,US-FL,30.08333,-85.75,10,2,OSPREY,3640,,,,,,,3,22,7,5,0.42,E,Pandion haliaetus
B09019635216,B09019635216,,B,6/29/11,29,6,2011,US,US-NJ,39.08333,-74.75,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019635216,B09019635216,,E,8/17/11,17,8,2011,US,US-NJ,39.08333,-74.75,10,2,OSPREY,3640,,,,,,,0,21,61,4,0.17,E,Pandion haliaetus
B09019635853,B09019635853,,B,6/30/11,30,6,2011,US,US-NJ,39.75,-74.08333,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019635853,B09019635853,,E,4/13/16,13,4,2016,US,US-NJ,40.08333,-74.08333,10,2,Osprey,3640,,,,,,,54,21,7,4,4.83,E,Pandion haliaetus
B09019637699,B09019637699,,B,6/24/14,24,6,2014,US,US-NJ,39.25,-74.91667,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
B09019637699,B09019637699,,E,4/2/15,2,4,2015,VE,,9.58333,-68.08333,10,2,Osprey,3640,,,,,,,0,21,7,5,0.83,E,Pandion haliaetus
B09019638653,B09019638653,,B,6/27/19,27,6,2019,US,US-NJ,40.41667,-74.25,10,2,Osprey,3640,3,0,4,0,P9719515,0,,,,,,B,Pandion haliaetus
